onset	duration	trial_type	value	sample
0.501953125	0.0	Block_40_Hz_Standard	40	257
1.068359375	0.0	40_Hz_Standard	11	547
2.16796875	0.0	40_Hz_Standard	11	1110
3.408203125	0.0	40_Hz_Standard	11	1745
4.529296875	0.0	40_Hz_Standard	11	2319
5.529296875	0.0	40_Hz_Standard	11	2831
6.66796875	0.0	40_Hz_Standard	11	3414
7.94921875	0.0	40_Hz_Oddball	12	4070
8.66015625	0.0	Response_button	1	4434
9.029296875	0.0	40_Hz_Standard	11	4623
10.2890625	0.0	40_Hz_Standard	11	5268
11.44921875	0.0	40_Hz_Oddball	12	5862
12.28515625	0.0	Response_button	1	6290
12.46875	0.0	40_Hz_Standard	11	6384
13.66796875	0.0	40_Hz_Standard	11	6998
14.888671875	0.0	40_Hz_Oddball	12	7623
15.4453125	0.0	Response_button	1	7908
15.94921875	0.0	40_Hz_Standard	11	8166
16.98828125	0.0	40_Hz_Standard	11	8698
18.2890625	0.0	40_Hz_Oddball	12	9364
19.037109375	0.0	Response_button	1	9747
19.46875	0.0	40_Hz_Standard	11	9968
20.728515625	0.0	40_Hz_Standard	11	10613
21.908203125	0.0	40_Hz_Oddball	12	11217
22.8046875	0.0	Response_button	1	11676
22.927734375	0.0	40_Hz_Standard	11	11739
24.0078125	0.0	40_Hz_Standard	11	12292
25.228515625	0.0	40_Hz_Standard	11	12917
26.2890625	0.0	40_Hz_Standard	11	13460
27.587890625	0.0	40_Hz_Standard	11	14125
28.587890625	0.0	40_Hz_Standard	11	14637
29.7890625	0.0	40_Hz_Standard	11	15252
31.068359375	0.0	40_Hz_Standard	11	15907
32.30859375	0.0	40_Hz_Standard	11	16542
33.427734375	0.0	40_Hz_Standard	11	17115
34.46875	0.0	40_Hz_Standard	11	17648
35.607421875	0.0	40_Hz_Standard	11	18231
36.767578125	0.0	40_Hz_Standard	11	18825
37.8671875	0.0	40_Hz_Standard	11	19388
39.12890625	0.0	40_Hz_Standard	11	20034
40.208984375	0.0	40_Hz_Standard	11	20587
41.447265625	0.0	40_Hz_Standard	11	21221
42.548828125	0.0	40_Hz_Standard	11	21785
43.548828125	0.0	40_Hz_Oddball	12	22297
44.373046875	0.0	Response_button	1	22719
44.70703125	0.0	40_Hz_Standard	11	22890
45.98828125	0.0	40_Hz_Standard	11	23546
47.1875	0.0	40_Hz_Oddball	12	24160
48.408203125	0.0	40_Hz_Standard	11	24785
49.70703125	0.0	40_Hz_Standard	11	25450
50.888671875	0.0	40_Hz_Standard	11	26055
51.927734375	0.0	40_Hz_Standard	11	26587
52.947265625	0.0	40_Hz_Standard	11	27109
54.087890625	0.0	40_Hz_Standard	11	27693
55.20703125	0.0	40_Hz_Standard	11	28266
56.267578125	0.0	40_Hz_Standard	11	28809
57.396484375	0.0	Half_Block_Pause	199	29387
61.478515625	0.0	40_Hz_Standard	11	31477
62.6171875	0.0	40_Hz_Oddball	12	32060
63.7890625	0.0	Response_button	1	32660
63.818359375	0.0	40_Hz_Standard	11	32675
65.056640625	0.0	40_Hz_Standard	11	33309
66.318359375	0.0	40_Hz_Standard	11	33955
67.478515625	0.0	40_Hz_Standard	11	34549
68.697265625	0.0	40_Hz_Standard	11	35173
69.77734375	0.0	40_Hz_Oddball	12	35726
70.876953125	0.0	40_Hz_Standard	11	36289
71.4609375	0.0	Response_button	1	36588
71.8984375	0.0	40_Hz_Standard	11	36812
73.078125	0.0	40_Hz_Oddball	12	37416
73.580078125	0.0	Response_button	1	37673
74.13671875	0.0	40_Hz_Standard	11	37958
75.41796875	0.0	40_Hz_Standard	11	38614
76.45703125	0.0	40_Hz_Standard	11	39146
77.45703125	0.0	40_Hz_Standard	11	39658
78.7578125	0.0	40_Hz_Standard	11	40324
79.9765625	0.0	40_Hz_Standard	11	40948
81.23828125	0.0	40_Hz_Standard	11	41594
82.2578125	0.0	40_Hz_Standard	11	42116
83.2578125	0.0	40_Hz_Oddball	12	42628
84.083984375	0.0	Response_button	1	43051
84.537109375	0.0	40_Hz_Standard	11	43283
85.63671875	0.0	40_Hz_Standard	11	43846
86.876953125	0.0	40_Hz_Standard	11	44481
88.037109375	0.0	40_Hz_Standard	11	45075
89.158203125	0.0	40_Hz_Standard	11	45649
90.236328125	0.0	40_Hz_Standard	11	46201
91.537109375	0.0	40_Hz_Standard	11	46867
92.578125	0.0	40_Hz_Standard	11	47400
93.63671875	0.0	40_Hz_Standard	11	47942
94.837890625	0.0	40_Hz_Standard	11	48557
95.9765625	0.0	40_Hz_Standard	11	49140
97.15625	0.0	40_Hz_Oddball	12	49744
97.94140625	0.0	Response_button	1	50146
98.236328125	0.0	40_Hz_Standard	11	50297
99.517578125	0.0	40_Hz_Standard	11	50953
100.576171875	0.0	40_Hz_Oddball	12	51495
101.837890625	0.0	40_Hz_Standard	11	52141
102.109375	0.0	Response_button	1	52280
103.076171875	0.0	40_Hz_Standard	11	52775
104.216796875	0.0	40_Hz_Standard	11	53359
105.517578125	0.0	40_Hz_Standard	11	54025
106.716796875	0.0	40_Hz_Standard	11	54639
107.876953125	0.0	40_Hz_Oddball	12	55233
108.8203125	0.0	Response_button	1	55716
108.876953125	0.0	40_Hz_Standard	11	55745
109.896484375	0.0	40_Hz_Standard	11	56267
111.076171875	0.0	40_Hz_Standard	11	56871
112.197265625	0.0	40_Hz_Standard	11	57445
113.416015625	0.0	40_Hz_Standard	11	58069
114.517578125	0.0	40_Hz_Standard	11	58633
115.556640625	0.0	40_Hz_Oddball	12	59165
116.525390625	0.0	Response_button	1	59661
116.576171875	0.0	40_Hz_Standard	11	59687
117.716796875	0.0	40_Hz_Standard	11	60271
118.796875	0.0	40_Hz_Standard	11	60824
119.453125	0.0	Block_27_Hz_Standard	27	61160
120.01953125	0.0	27_Hz_Standard	21	61450
121.279296875	0.0	27_Hz_Standard	21	62095
122.439453125	0.0	27_Hz_Standard	21	62689
123.740234375	0.0	27_Hz_Standard	21	63355
125.01953125	0.0	27_Hz_Standard	21	64010
126.01953125	0.0	27_Hz_Standard	21	64522
127.16015625	0.0	27_Hz_Standard	21	65106
128.279296875	0.0	27_Hz_Standard	21	65679
129.359375	0.0	27_Hz_Oddball	22	66232
130.580078125	0.0	27_Hz_Standard	21	66857
131.599609375	0.0	27_Hz_Standard	21	67379
132.66015625	0.0	27_Hz_Standard	21	67922
133.900390625	0.0	27_Hz_Standard	21	68557
135.080078125	0.0	27_Hz_Standard	21	69161
136.279296875	0.0	27_Hz_Standard	21	69775
137.3203125	0.0	27_Hz_Oddball	22	70308
137.8125	0.0	Response_button	1	70560
138.419921875	0.0	27_Hz_Standard	21	70871
139.439453125	0.0	27_Hz_Standard	21	71393
140.5390625	0.0	27_Hz_Standard	21	71956
141.8203125	0.0	27_Hz_Standard	21	72612
143.0	0.0	27_Hz_Standard	21	73216
144.240234375	0.0	27_Hz_Standard	21	73851
145.3203125	0.0	27_Hz_Standard	21	74404
146.619140625	0.0	27_Hz_Standard	21	75069
147.8203125	0.0	27_Hz_Standard	21	75684
148.87890625	0.0	27_Hz_Oddball	22	76226
149.5	0.0	Response_button	1	76544
150.0390625	0.0	27_Hz_Standard	21	76820
151.259765625	0.0	27_Hz_Standard	21	77445
152.37890625	0.0	27_Hz_Standard	21	78018
153.638671875	0.0	27_Hz_Standard	21	78663
154.779296875	0.0	27_Hz_Standard	21	79247
155.779296875	0.0	27_Hz_Standard	21	79759
156.818359375	0.0	27_Hz_Standard	21	80291
158.0	0.0	27_Hz_Oddball	22	80896
158.564453125	0.0	Response_button	1	81185
159.138671875	0.0	27_Hz_Standard	21	81479
160.33984375	0.0	27_Hz_Standard	21	82094
161.55859375	0.0	27_Hz_Standard	21	82718
162.71875	0.0	27_Hz_Standard	21	83312
163.83984375	0.0	27_Hz_Standard	21	83886
164.87890625	0.0	27_Hz_Standard	21	84418
166.138671875	0.0	27_Hz_Oddball	22	85063
166.900390625	0.0	Response_button	1	85453
167.158203125	0.0	27_Hz_Standard	21	85585
168.458984375	0.0	27_Hz_Standard	21	86251
169.458984375	0.0	27_Hz_Oddball	22	86763
170.69921875	0.0	27_Hz_Standard	21	87398
171.779296875	0.0	27_Hz_Standard	21	87951
173.05859375	0.0	27_Hz_Oddball	22	88606
174.119140625	0.0	27_Hz_Standard	21	89149
175.21875	0.0	27_Hz_Standard	21	89712
176.28125	0.0	Half_Block_Pause	199	90256
180.359375	0.0	27_Hz_Standard	21	92344
181.55859375	0.0	27_Hz_Standard	21	92958
182.73828125	0.0	27_Hz_Standard	21	93562
183.779296875	0.0	27_Hz_Standard	21	94095
185.078125	0.0	27_Hz_Standard	21	94760
186.359375	0.0	27_Hz_Standard	21	95416
187.458984375	0.0	27_Hz_Standard	21	95979
188.458984375	0.0	27_Hz_Standard	21	96491
189.478515625	0.0	27_Hz_Standard	21	97013
190.73828125	0.0	27_Hz_Standard	21	97658
191.978515625	0.0	27_Hz_Oddball	22	98293
193.013671875	0.0	Response_button	1	98823
193.119140625	0.0	27_Hz_Standard	21	98877
194.19921875	0.0	27_Hz_Standard	21	99430
195.359375	0.0	27_Hz_Standard	21	100024
196.478515625	0.0	27_Hz_Standard	21	100597
197.69921875	0.0	27_Hz_Standard	21	101222
198.73828125	0.0	27_Hz_Standard	21	101754
199.859375	0.0	27_Hz_Standard	21	102328
200.958984375	0.0	27_Hz_Oddball	22	102891
201.564453125	0.0	Response_button	1	103201
202.21875	0.0	27_Hz_Standard	21	103536
203.3984375	0.0	27_Hz_Standard	21	104140
204.619140625	0.0	27_Hz_Standard	21	104765
205.677734375	0.0	27_Hz_Standard	21	105307
206.958984375	0.0	27_Hz_Oddball	22	105963
208.0390625	0.0	27_Hz_Standard	21	106516
208.228515625	0.0	Response_button	1	106613
209.279296875	0.0	27_Hz_Standard	21	107151
210.4375	0.0	27_Hz_Standard	21	107744
211.73828125	0.0	27_Hz_Standard	21	108410
212.7578125	0.0	27_Hz_Standard	21	108932
213.958984375	0.0	27_Hz_Standard	21	109547
215.09765625	0.0	27_Hz_Oddball	22	110130
216.09765625	0.0	27_Hz_Standard	21	110642
216.4921875	0.0	Response_button	1	110844
217.23828125	0.0	27_Hz_Standard	21	111226
218.337890625	0.0	27_Hz_Oddball	22	111789
219.373046875	0.0	Response_button	1	112319
219.458984375	0.0	27_Hz_Standard	21	112363
220.71875	0.0	27_Hz_Standard	21	113008
221.998046875	0.0	27_Hz_Standard	21	113663
223.177734375	0.0	27_Hz_Standard	21	114267
224.337890625	0.0	27_Hz_Standard	21	114861
225.41796875	0.0	27_Hz_Standard	21	115414
226.6171875	0.0	27_Hz_Standard	21	116028
227.658203125	0.0	27_Hz_Oddball	22	116561
228.71875	0.0	27_Hz_Standard	21	117104
229.958984375	0.0	27_Hz_Standard	21	117739
231.177734375	0.0	27_Hz_Oddball	22	118363
232.197265625	0.0	27_Hz_Standard	21	118885
233.498046875	0.0	27_Hz_Standard	21	119551
234.498046875	0.0	27_Hz_Standard	21	120063
235.59765625	0.0	27_Hz_Oddball	22	120626
236.765625	0.0	Response_button	1	121224
236.818359375	0.0	27_Hz_Standard	21	121251
238.078125	0.0	27_Hz_Standard	21	121896
239.7734375	0.0	Block_40_Hz_Standard	40	122764
240.33984375	0.0	40_Hz_Standard	11	123054
241.599609375	0.0	40_Hz_Standard	11	123699
242.6796875	0.0	40_Hz_Standard	11	124252
243.900390625	0.0	40_Hz_Standard	11	124877
244.919921875	0.0	40_Hz_Standard	11	125399
245.9609375	0.0	40_Hz_Oddball	12	125932
247.01953125	0.0	40_Hz_Standard	11	126474
248.1796875	0.0	40_Hz_Standard	11	127068
249.4609375	0.0	40_Hz_Standard	11	127724
250.580078125	0.0	40_Hz_Standard	11	128297
251.779296875	0.0	40_Hz_Standard	11	128911
252.919921875	0.0	40_Hz_Standard	11	129495
253.919921875	0.0	40_Hz_Standard	11	130007
255.099609375	0.0	40_Hz_Standard	11	130611
256.19921875	0.0	40_Hz_Standard	11	131174
257.5	0.0	40_Hz_Standard	11	131840
258.740234375	0.0	40_Hz_Standard	11	132475
259.740234375	0.0	40_Hz_Oddball	12	132987
260.4375	0.0	Response_button	1	133344
260.779296875	0.0	40_Hz_Standard	11	133519
261.859375	0.0	40_Hz_Standard	11	134072
263.01953125	0.0	40_Hz_Standard	11	134666
264.119140625	0.0	40_Hz_Oddball	12	135229
265.359375	0.0	40_Hz_Standard	11	135864
266.380859375	0.0	40_Hz_Standard	11	136387
267.6796875	0.0	40_Hz_Oddball	12	137052
268.341796875	0.0	Response_button	1	137391
268.859375	0.0	40_Hz_Standard	11	137656
270.060546875	0.0	40_Hz_Standard	11	138271
271.19921875	0.0	40_Hz_Standard	11	138854
272.419921875	0.0	40_Hz_Standard	11	139479
273.6796875	0.0	40_Hz_Oddball	12	140124
274.541015625	0.0	Response_button	1	140565
274.798828125	0.0	40_Hz_Standard	11	140697
275.859375	0.0	40_Hz_Standard	11	141240
277.140625	0.0	40_Hz_Oddball	12	141896
278.359375	0.0	40_Hz_Standard	11	142520
279.48046875	0.0	40_Hz_Standard	11	143094
280.619140625	0.0	40_Hz_Standard	11	143677
281.69921875	0.0	40_Hz_Standard	11	144230
282.859375	0.0	40_Hz_Standard	11	144824
283.87890625	0.0	40_Hz_Standard	11	145346
285.119140625	0.0	40_Hz_Standard	11	145981
286.1796875	0.0	40_Hz_Standard	11	146524
287.1796875	0.0	40_Hz_Standard	11	147036
288.439453125	0.0	40_Hz_Standard	11	147681
289.5390625	0.0	40_Hz_Standard	11	148244
290.83984375	0.0	40_Hz_Standard	11	148910
292.119140625	0.0	40_Hz_Standard	11	149565
293.16015625	0.0	40_Hz_Oddball	12	150098
293.869140625	0.0	Response_button	1	150461
294.359375	0.0	40_Hz_Standard	11	150712
295.5390625	0.0	40_Hz_Standard	11	151316
296.55078125	0.0	Half_Block_Pause	199	151834
300.62890625	0.0	40_Hz_Standard	11	153922
301.708984375	0.0	40_Hz_Oddball	12	154475
303.009765625	0.0	40_Hz_Standard	11	155141
303.044921875	0.0	Response_button	1	155159
304.25	0.0	40_Hz_Standard	11	155776
305.44921875	0.0	40_Hz_Standard	11	156390
306.568359375	0.0	40_Hz_Standard	11	156963
307.849609375	0.0	40_Hz_Standard	11	157619
309.009765625	0.0	40_Hz_Standard	11	158213
310.048828125	0.0	40_Hz_Standard	11	158745
311.1484375	0.0	40_Hz_Standard	11	159308
312.408203125	0.0	40_Hz_Standard	11	159953
313.62890625	0.0	40_Hz_Standard	11	160578
314.689453125	0.0	40_Hz_Standard	11	161121
315.828125	0.0	40_Hz_Oddball	12	161704
317.009765625	0.0	40_Hz_Standard	11	162309
318.029296875	0.0	40_Hz_Standard	11	162831
319.208984375	0.0	40_Hz_Oddball	12	163435
320.2890625	0.0	40_Hz_Standard	11	163988
321.509765625	0.0	40_Hz_Standard	11	164613
322.6484375	0.0	40_Hz_Oddball	12	165196
323.541015625	0.0	Response_button	1	165653
323.689453125	0.0	40_Hz_Standard	11	165729
324.708984375	0.0	40_Hz_Standard	11	166251
325.908203125	0.0	40_Hz_Standard	11	166865
327.068359375	0.0	40_Hz_Standard	11	167459
328.068359375	0.0	40_Hz_Standard	11	167971
329.349609375	0.0	40_Hz_Standard	11	168627
330.408203125	0.0	40_Hz_Oddball	12	169169
331.509765625	0.0	40_Hz_Standard	11	169733
332.62890625	0.0	40_Hz_Standard	11	170306
333.869140625	0.0	40_Hz_Standard	11	170941
335.12890625	0.0	40_Hz_Standard	11	171586
336.4296875	0.0	40_Hz_Standard	11	172252
337.689453125	0.0	40_Hz_Oddball	12	172897
338.96875	0.0	40_Hz_Standard	11	173552
340.1484375	0.0	40_Hz_Standard	11	174156
341.388671875	0.0	40_Hz_Oddball	12	174791
342.46875	0.0	40_Hz_Standard	11	175344
343.62890625	0.0	40_Hz_Standard	11	175938
344.62890625	0.0	40_Hz_Standard	11	176450
345.76953125	0.0	40_Hz_Standard	11	177034
346.98828125	0.0	40_Hz_Standard	11	177658
348.2890625	0.0	40_Hz_Standard	11	178324
349.388671875	0.0	40_Hz_Standard	11	178887
350.408203125	0.0	40_Hz_Standard	11	179409
351.46875	0.0	40_Hz_Standard	11	179952
352.66796875	0.0	40_Hz_Standard	11	180566
353.708984375	0.0	40_Hz_Standard	11	181099
354.828125	0.0	40_Hz_Standard	11	181672
355.98828125	0.0	40_Hz_Oddball	12	182266
356.98828125	0.0	40_Hz_Standard	11	182778
358.0078125	0.0	40_Hz_Standard	11	183300
360.1953125	0.0	Block_27_Hz_Standard	27	184420
360.76171875	0.0	27_Hz_Standard	21	184710
361.861328125	0.0	27_Hz_Standard	21	185273
362.919921875	0.0	27_Hz_Standard	21	185815
363.9609375	0.0	27_Hz_Standard	21	186348
364.98046875	0.0	27_Hz_Standard	21	186870
366.060546875	0.0	27_Hz_Oddball	22	187423
366.669921875	0.0	Response_button	1	187735
367.30078125	0.0	27_Hz_Standard	21	188058
368.580078125	0.0	27_Hz_Standard	21	188713
369.80078125	0.0	27_Hz_Standard	21	189338
371.060546875	0.0	27_Hz_Standard	21	189983
372.240234375	0.0	27_Hz_Oddball	22	190587
373.236328125	0.0	Response_button	1	191097
374.541015625	0.0	27_Hz_Standard	21	191765
375.66015625	0.0	27_Hz_Standard	21	192338
376.8203125	0.0	27_Hz_Standard	21	192932
378.021484375	0.0	27_Hz_Oddball	22	193547
379.15625	0.0	Response_button	1	194128
380.28125	0.0	27_Hz_Standard	21	194704
381.4609375	0.0	27_Hz_Standard	21	195308
382.541015625	0.0	27_Hz_Standard	21	195861
383.78125	0.0	27_Hz_Oddball	22	196496
384.919921875	0.0	27_Hz_Standard	21	197079
385.939453125	0.0	27_Hz_Standard	21	197601
386.939453125	0.0	27_Hz_Standard	21	198113
387.98046875	0.0	27_Hz_Standard	21	198646
389.240234375	0.0	27_Hz_Standard	21	199291
390.439453125	0.0	27_Hz_Standard	21	199905
