onset	duration	trial_type	value	sample
0.119140625	0.0	Response_button	255	61
0.587890625	0.0	Block_start	203	301
1.162109375	0.0	Visual_Cue	17	595
2.3828125	0.0	Visual_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	40	1220
2.51171875	0.0	Visual_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	50	1286
4.162109375	0.0	Visual_Cue	17	2131
5.3828125	0.0	Visual_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	40	2756
5.509765625	0.0	Visual_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	50	2821
7.16015625	0.0	Auditory_Cue	16	3666
8.37109375	0.0	Auditory_Cue_trial_Auditory_S2_Unisensory_Non_Target	60	4286
9.6796875	0.0	Response_button	255	4956
10.125	0.0	Visual_Cue	17	5184
11.44140625	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	5858
13.091796875	0.0	Visual_Cue	17	6703
14.3125	0.0	Visual_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_Target	43	7328
14.439453125	0.0	Visual_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_Target	53	7393
14.91015625	0.0	Response_button	255	7634
16.08984375	0.0	Visual_Cue	17	8238
17.421875	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	8920
19.072265625	0.0	Auditory_Cue	16	9765
20.291015625	0.0	Auditory_Cue_trial_Auditory_S2_Unisensory_Non_Target	60	10389
22.037109375	0.0	Auditory_Cue	16	11283
23.251953125	0.0	Auditory_Cue_trial_Auditory_S2_Unisensory_Non_Target	60	11905
25.00390625	0.0	Auditory_Cue	16	12802
26.220703125	0.0	Auditory_Cue_trial_Auditory_S2_Bisensory_Visual_Target_and_Auditory_non_Target	21	13425
26.3359375	0.0	Auditory_Cue_trial_Visual_S2_Bisensory_Visual_Target_and_Auditory_non_Target	31	13484
27.302734375	0.0	Response_button	255	13979
27.986328125	0.0	Visual_Cue	17	14329
29.201171875	0.0	Visual_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	40	14951
29.31640625	0.0	Visual_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	50	15010
32.048828125	0.0	Visual_Cue	17	16409
33.36328125	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Target	72	17082
34.22265625	0.0	Response_button	255	17522
35.013671875	0.0	Visual_Cue	17	17927
36.23046875	0.0	Visual_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	40	18550
36.345703125	0.0	Visual_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	50	18609
37.99609375	0.0	Auditory_Cue	16	19454
39.2109375	0.0	Auditory_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	20	20076
