onset	duration	trial_type	value	sample
7.76171875	0.0	Response_button	100	3974
118.3828125	0.0	Non_Illusory_contours	21	60612
119.43359375	0.0	Non_Illusory_contours	21	61150
120.783203125	0.0	Illusory_contours	20	61841
122.064453125	0.0	Non_Illusory_contours	21	62497
123.3984375	0.0	Illusory_contours	20	63180
124.365234375	0.0	Non_Illusory_contours	21	63675
125.814453125	0.0	Dot_flip	77	64417
126.513671875	0.0	Illusory_contours	20	64775
126.5625	0.0	Response_button	100	64800
127.845703125	0.0	Non_Illusory_contours	21	65457
129.01171875	0.0	Illusory_contours	20	66054
130.4609375	0.0	Dot_flip	77	66796
130.72265625	0.0	Response_button	100	66930
131.162109375	0.0	Non_Illusory_contours	21	67155
132.328125	0.0	Non_Illusory_contours	21	67752
133.509765625	0.0	Dot_flip	77	68357
133.755859375	0.0	Response_button	100	68483
134.2109375	0.0	Illusory_contours	20	68716
135.2265625	0.0	Illusory_contours	20	69236
136.4921875	0.0	Illusory_contours	20	69884
137.458984375	0.0	Illusory_contours	20	70379
137.611328125	0.0	Response_button	100	70457
138.458984375	0.0	Illusory_contours	20	70891
139.73828125	0.0	Response_button	100	71546
139.890625	0.0	Non_Illusory_contours	21	71624
141.2734375	0.0	Illusory_contours	20	72332
142.7734375	0.0	Dot_flip	77	73100
143.001953125	0.0	Response_button	100	73217
143.47265625	0.0	Non_Illusory_contours	21	73458
144.5234375	0.0	Non_Illusory_contours	21	73996
145.755859375	0.0	Illusory_contours	20	74627
146.822265625	0.0	Non_Illusory_contours	21	75173
148.220703125	0.0	Illusory_contours	20	75889
149.50390625	0.0	Non_Illusory_contours	21	76546
151.00390625	0.0	Dot_flip	77	77314
151.283203125	0.0	Response_button	100	77457
151.703125	0.0	Illusory_contours	20	77672
153.203125	0.0	Non_Illusory_contours	21	78440
154.65234375	0.0	Non_Illusory_contours	21	79182
156.083984375	0.0	Non_Illusory_contours	21	79915
157.43359375	0.0	Illusory_contours	20	80606
158.6328125	0.0	Non_Illusory_contours	21	81220
159.1953125	0.0	Response_button	100	81508
160.048828125	0.0	Non_Illusory_contours	21	81945
160.306640625	0.0	Response_button	100	82077
161.365234375	0.0	Dot_flip	77	82619
161.72265625	0.0	Response_button	100	82802
162.06640625	0.0	Non_Illusory_contours	21	82978
163.515625	0.0	Illusory_contours	20	83720
164.697265625	0.0	Dot_flip	77	84325
165.396484375	0.0	Non_Illusory_contours	21	84683
166.49609375	0.0	Non_Illusory_contours	21	85246
167.845703125	0.0	Illusory_contours	20	85937
169.01171875	0.0	Non_Illusory_contours	21	86534
170.1953125	0.0	Non_Illusory_contours	21	87140
171.328125	0.0	Illusory_contours	20	87720
172.560546875	0.0	Dot_flip	77	88351
172.9453125	0.0	Response_button	100	88548
173.26171875	0.0	Non_Illusory_contours	21	88710
174.59375	0.0	Non_Illusory_contours	21	89392
175.66015625	0.0	Non_Illusory_contours	21	89938
177.05859375	0.0	Dot_flip	77	90654
177.466796875	0.0	Response_button	100	90863
177.759765625	0.0	Non_Illusory_contours	21	91013
178.69140625	0.0	Illusory_contours	20	91490
179.67578125	0.0	Illusory_contours	20	91994
180.658203125	0.0	Illusory_contours	20	92497
181.857421875	0.0	Non_Illusory_contours	21	93111
183.15625	0.0	Non_Illusory_contours	21	93776
184.388671875	0.0	Dot_flip	77	94407
184.666015625	0.0	Response_button	100	94549
185.08984375	0.0	Illusory_contours	20	94766
186.3984375	0.0	Pause	199	95436
190.51953125	0.0	Non_Illusory_contours	21	97546
191.751953125	0.0	Non_Illusory_contours	21	98177
192.951171875	0.0	Dot_flip	77	98791
193.201171875	0.0	Response_button	100	98919
