onset	duration	trial_type	value	sample
0.466796875	0.0	Response_button	1	239
0.998046875	0.0	Face_upright	21	511
1.353515625	0.0	Response_button	1	693
2.28125	0.0	Face_upright	21	1168
2.529296875	0.0	Response_button	1	1295
3.431640625	0.0	Face_inverted	22	1757
4.712890625	0.0	Face_inverted	22	2413
5.86328125	0.0	Face_inverted	22	3002
7.029296875	0.0	Face_inverted	22	3599
8.3125	0.0	Face_upright	21	4256
9.494140625	0.0	Face_inverted	22	4861
10.662109375	0.0	Face_upright	21	5459
11.828125	0.0	Face_inverted	22	6056
13.02734375	0.0	Face_inverted_shadow	122	6670
13.2265625	0.0	Response_button	1	6772
14.2265625	0.0	Face_inverted	22	7284
15.509765625	0.0	Face_inverted	22	7941
16.724609375	0.0	Face_upright_shadow	121	8563
17.09765625	0.0	Response_button	1	8754
17.92578125	0.0	Face_upright	21	9178
19.07421875	0.0	Face_upright	21	9766
20.32421875	0.0	Face_inverted	22	10406
21.5234375	0.0	Face_inverted_shadow	122	11020
21.857421875	0.0	Response_button	1	11191
22.755859375	0.0	Face_inverted	22	11651
23.955078125	0.0	Face_upright	21	12265
25.15625	0.0	Face_upright	21	12880
25.361328125	0.0	Response_button	1	12985
26.455078125	0.0	Face_upright	21	13545
27.62109375	0.0	Face_upright	21	14142
28.919921875	0.0	Face_inverted_shadow	122	14807
29.154296875	0.0	Response_button	1	14927
30.119140625	0.0	Face_inverted	22	15421
31.419921875	0.0	Face_upright	21	16087
31.70703125	0.0	Response_button	1	16234
32.634765625	0.0	Face_upright_shadow	121	16709
32.986328125	0.0	Response_button	1	16889
33.78515625	0.0	Face_upright	21	17298
34.984375	0.0	Face_upright	21	17912
39.296875	0.0	Face_inverted_shadow	122	20120
39.578125	0.0	Response_button	1	20264
40.5625	0.0	Face_inverted	22	20768
41.794921875	0.0	Face_inverted	22	21399
42.994140625	0.0	Face_inverted	22	22013
44.228515625	0.0	Face_upright	21	22645
45.544921875	0.0	Face_upright	21	23319
45.76953125	0.0	Response_button	1	23434
46.677734375	0.0	Face_upright	21	23899
47.859375	0.0	Face_upright_shadow	121	24504
48.193359375	0.0	Response_button	1	24675
49.04296875	0.0	Face_inverted	22	25110
50.224609375	0.0	Face_upright	21	25715
51.357421875	0.0	Face_inverted_shadow	122	26295
51.75390625	0.0	Response_button	1	26498
52.658203125	0.0	Face_inverted	22	26961
53.806640625	0.0	Face_upright	21	27549
54.990234375	0.0	Face_upright_shadow	121	28155
55.2578125	0.0	Response_button	1	28292
56.173828125	0.0	Face_inverted	22	28761
57.373046875	0.0	Face_inverted	22	29375
58.65625	0.0	Face_upright	21	30032
59.8046875	0.0	Face_upright_shadow	121	30620
60.009765625	0.0	Response_button	1	30725
61.0546875	0.0	Face_inverted	22	31260
62.203125	0.0	Face_upright	21	31848
63.353515625	0.0	Face_upright	21	32437
64.5703125	0.0	Face_upright_shadow	121	33060
64.673828125	0.0	Response_button	1	33113
65.736328125	0.0	Face_inverted	22	33657
67.052734375	0.0	Face_inverted	22	34331
68.201171875	0.0	Face_inverted	22	34919
69.345703125	0.0	Response_button	1	35505
69.43359375	0.0	Face_upright	21	35550
70.66796875	0.0	Face_upright_shadow	121	36182
71.138671875	0.0	Response_button	1	36423
71.966796875	0.0	Face_upright	21	36847
