onset	duration	trial_type	value	sample
0.38671875	0.0	Block_start	203	198
0.9609375	0.0	Visual_Cue	17	492
2.29296875	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	1174
3.943359375	0.0	Visual_Cue	17	2019
5.275390625	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	2701
6.92578125	0.0	Visual_Cue	17	3546
8.2578125	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	4228
9.908203125	0.0	Auditory_Cue	16	5073
11.126953125	0.0	Auditory_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_Target	23	5697
11.255859375	0.0	Auditory_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_Target	33	5763
11.677734375	0.0	Response_button	255	5979
12.90625	0.0	Auditory_Cue	16	6608
14.126953125	0.0	Auditory_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_Target	23	7233
14.255859375	0.0	Auditory_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_Target	33	7299
15.390625	0.0	Response_button	255	7880
15.90625	0.0	Auditory_Cue	16	8144
17.126953125	0.0	Auditory_Cue_trial_Auditory_S2_Unisensory_Non_Target	60	8769
18.888671875	0.0	Visual_Cue	17	9671
20.203125	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	10344
20.90234375	0.0	Response_button	255	10702
21.853515625	0.0	Visual_Cue	17	11189
23.068359375	0.0	Visual_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	40	11811
23.185546875	0.0	Visual_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	50	11871
24.8359375	0.0	Auditory_Cue	16	12716
26.056640625	0.0	Auditory_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_Target	23	13341
26.18359375	0.0	Auditory_Cue_trial_Visual_S2_Bisensory_Visual_non_Target_and_Auditory_Target	33	13406
26.703125	0.0	Response_button	255	13672
27.833984375	0.0	Auditory_Cue	16	14251
29.046875	0.0	Auditory_Cue_trial_Auditory_S2_Unisensory_Non_Target	60	14872
32.880859375	0.0	Visual_Cue	17	16835
34.09765625	0.0	Visual_Cue_trial_Auditory_S2_Bisensory_Visual_Target_and_Auditory_non_Target	41	17458
34.212890625	0.0	Visual_Cue_trial_Visual_S2_Bisensory_Visual_Target_and_Auditory_non_Target	51	17517
35.86328125	0.0	Visual_Cue	17	18362
37.1953125	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	19044
38.845703125	0.0	Visual_Cue	17	19889
40.177734375	0.0	Visual_Cue_trial_Visual_S2_Unisensory_Non_Target	70	20571
41.828125	0.0	Auditory_Cue	16	21416
43.046875	0.0	Auditory_Cue_trial_Auditory_S2_Bisensory_Visual_non_Target_and_Auditory_non_Target	20	22040
